name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Lagothrix_lagotricha	NA	NA	NA	9519	NA	NA	NA	9518	NA	NA	38068	378855	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Chiropotes_albinasus	NA	NA	NA	198627	NA	NA	NA	9524	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Aotus_azarai	NA	NA	NA	30591	NA	NA	NA	9504	NA	NA	NA	376918	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Brachyteles_arachnoides	NA	NA	NA	30594	NA	NA	NA	30593	NA	NA	38068	378855	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tarsius_tarsier	NA	NA	NA	662464	NA	NA	NA	9476	NA	NA	NA	9475	NA	NA	376912	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Pithecia_pithecia	NA	NA	NA	43777	NA	NA	NA	30597	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Leontopithecus_chrysopygus	NA	NA	NA	58710	NA	NA	NA	30587	NA	NA	9480	9498	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Microcebus_sambiranensis	NA	NA	NA	143353	NA	NA	NA	13149	NA	NA	NA	30615	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Aotus_trivirgatus	NA	NA	NA	9505	NA	NA	NA	9504	NA	NA	NA	376918	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Galago_moholi	NA	NA	NA	30609	NA	NA	NA	9462	NA	NA	NA	40297	NA	NA	376917	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Eulemur_coronatus	NA	NA	NA	13514	NA	NA	NA	13513	NA	NA	NA	9445	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Eulemur_mongoz	NA	NA	NA	34828	NA	NA	NA	13513	NA	NA	NA	9445	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Cacajao_calvus	NA	NA	NA	30596	NA	NA	NA	30595	NA	NA	38039	376919	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Aotus_griseimembra	NA	NA	NA	292213	NA	NA	NA	9504	NA	NA	NA	376918	NA	9479	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Cheirogaleus_major	NA	NA	NA	47177	NA	NA	NA	9459	NA	NA	NA	30615	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
